name,location,releaseYear,rating,length,genre,Streaming Service,serverId
Blood & Water,South Africa,2021,0,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries",Netflix,0
Ganglands,,2021,0,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",Netflix,0
Jailbirds New Orleans,,2021,0,1 Season,"Docuseries, Reality TV",Netflix,0
Kota Factory,India,2021,0,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix,0
Midnight Mass,,2021,0,1 Season,"TV Dramas, TV Horror, TV Mysteries",Netflix,0
The Great British Baking Show,United Kingdom,2021,0,9 Seasons,"British TV Shows, Reality TV",Netflix,0
"Vendetta: Truth, Lies and The Mafia",,2021,0,1 Season,"Crime TV Shows, Docuseries, International TV Shows",Netflix,0
Bangkok Breaking,,2021,0,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",Netflix,0
Crime Stories: India Detectives,,2021,0,1 Season,"British TV Shows, Crime TV Shows, Docuseries",Netflix,0
Dear White People,United States,2021,0,4 Seasons,"TV Comedies, TV Dramas",Netflix,0
Falsa identidad,Mexico,2020,0,2 Seasons,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",Netflix,0
Jaguar,,2021,0,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",Netflix,0
Monsters Inside: The 24 Faces of Billy Milligan,,2021,0,1 Season,"Crime TV Shows, Docuseries, International TV Shows",Netflix,0
Resurrection: Ertugrul,Turkey,2018,0,5 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas",Netflix,0
Love on the Spectrum,Australia,2021,0,2 Seasons,"Docuseries, International TV Shows, Reality TV",Netflix,0
Chicago Party Aunt,,2021,0,1 Season,TV Comedies,Netflix,0
Sex Education,United Kingdom,2020,0,3 Seasons,"British TV Shows, International TV Shows, TV Comedies",Netflix,0
Squid Game,,2021,0,1 Season,"International TV Shows, TV Dramas, TV Thrillers",Netflix,0
Tayo and Little Wizards,,2020,0,1 Season,Kids' TV,Netflix,0
Angry Birds,Finland,2018,0,1 Season,"Kids' TV, TV Comedies",Netflix,0
Chhota Bheem,India,2021,0,3 Seasons,Kids' TV,Netflix,0
He-Man and the Masters of the Universe,United States,2021,0,1 Season,"Kids' TV, TV Sci-Fi & Fantasy",Netflix,0
The Smart Money Woman,,2020,0,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix,0
Castle and Castle,Nigeria,2021,0,2 Seasons,"International TV Shows, TV Dramas",Netflix,0
Dharmakshetra,India,2014,0,1 Season,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",Netflix,0
Nailed It,United States,2021,0,6 Seasons,Reality TV,Netflix,0
Numberblocks,United Kingdom,2021,0,6 Seasons,Kids' TV,Netflix,0
Raja Rasoi Aur Anya Kahaniyan,India,2014,0,1 Season,"Docuseries, International TV Shows",Netflix,0
Saved by the Bell,United States,1994,0,9 Seasons,"Kids' TV, TV Comedies",Netflix,0
Stories by Rabindranath Tagore,India,2015,0,1 Season,"International TV Shows, TV Dramas",Netflix,0
Too Hot To Handle: Latino,,2021,0,1 Season,"International TV Shows, Reality TV, Romantic TV Shows",Netflix,0
Jack Whitehall: Travels with My Father,United Kingdom,2021,0,5 Seasons,"British TV Shows, Docuseries, International TV Shows",Netflix,0
The World's Most Amazing Vacation Rentals,,2021,0,2 Seasons,Reality TV,Netflix,0
Yowamushi Pedal,Japan,2013,0,1 Season,"Anime Series, International TV Shows",Netflix,0
Lucifer,United States,2021,0,6 Seasons,"Crime TV Shows, TV Comedies, TV Dramas",Netflix,0
Metal Shop Masters,,2021,0,1 Season,Reality TV,Netflix,0
Pokémon Master Journeys: The Series,,2021,0,1 Season,"Anime Series, Kids' TV",Netflix,0
Titipo Titipo,,2019,0,2 Seasons,"Kids' TV, Korean TV Shows",Netflix,0
Mighty Raju,,2017,0,4 Seasons,Kids' TV,Netflix,0
