FirstName,LastName
Kirsten,Johnson
Robert,"Cullen,"
Haile,Gerima
Theodore,Melfi
Christian,Schwochow
Bruno,Garotti
Pedro,de
Adam,Salky
K.S.,Ravikumar
Alex,"Woo,"
S.,Shankar
Rajiv,Menon
Dennis,Dugan
Scott,Stewart
Robert,Luketic
Ashwiny,Iyer
Daniel,Sandu
Cédric,Jimenez
George,Nolfi
Steven,Spielberg
Jeannot,Szwarc
Joe,Alves
Joseph,Sargent
Tyler,Greco
Daniel,Espinosa
Antoine,Fuqua
Toshiya,Shinohara
Masahiko,Murata
Hajime,Kamegaki
Hirotsugu,Kawasaki
Toshiyuki,Tsuru
Tensai,Okamura
David,Yarovesky
Hanns-Bruno,"Kammertöns,"
David,A.
Kemi,Adetiba
Ben,Simms
Prakash,Satam
Delhiprasad,Deenadayalan
Tomer,Eshed
Cedric,Nicolas-Troyan
JJC,"Skillz,"
Thomas,Sieben
Marcus,Clarke
Alice,Waddington
Mona,"Achache,"
Alexis,Almström
Raja,Gosnell
Stephen,Kijak
Chapman,"Way,"
Yemi,Amodu
Lijo,Jose
David,de
Sara,Colangelo
Stephen,Herek
Rahul,Rawail
Jane,Campion
Nagesh,Kukunoor
Luke,Holland
Shanker,Raman
JP,Habac
Vidhu,Vinod
Mark,Rosman
Gilles,Paquet-Brenner
Lasse,Hallström
Scott,Pleydell-Pearce
Ridley,Scott
Neill,Blomkamp
Phillip,Noyce
Renny,Harlin
Anthony,Minghella
Simon,Wincer
Spike,Lee
Sebastián,Schindel
Steven,C.
Richard,LaGravenese
Martin,Campbell
Reginald,Hudlin
George,"Jackson,"
Eric,Meza
Michael,Martin
Michael,Rymer
Andrew,Lau
Brett,Weiner
Jim,Henson
Gary,Winick
Danishka,Esterhazy
Troy,Byer
Pang,Ho-cheung
Tim,Burton
David,Zucker
Kinka,Usher
Sergio,Leone
Matthew,"O'Callaghan,"
Bobby,"Farrelly,"
Wolfgang,Petersen
Peter,Spirer
Michael,Carney
Richard,Linklater
Amy,Rice
Randal,Kleiser
Michael,Ritchie
J.,Lee
Evan,"Goldberg,"
Tom,Shadyac
Peter,Segal
Malcolm,D.
Ramzy,"Bedia,"
Sharan,Koppisetty
Taylor,Sheridan
Sachin,Yardi
Saurabh,Kabra
Mark,Waters
Partho,Mitra
Santram,Varma
Anil,V.
Sangeeth,Sivan
Umesh,Ghadge
David,Dhawan
Dibakar,Banerjee
Apoorva,Lakhia
Milan,Luthria
Pawan,Kripalani
Bhushan,Patel
Magnus,Martens
Raj,"Nidimoru,"
Joshua,Rofé
Angel,Kristi
Roger,Donaldson
Christopher,Alender
Rush,Sturges
David,Oyelowo
Mark,Lo
Crystal,Moselle
Rathindran,R
Han,Kwang
Karim,El
Yin,Chen-hao
Brian,Andrew
Dave,Needham
Veronica,Velasco
Drake,Doremus
Miguel,Alexandre
Mani,Ratnam
Michael,Harte
Tosin,Igho
Alice,Filippi
Paakhi,Tyrewala
Laura,Brownson
Steve,Brill
Moses,Inwang
Ferdinando,Cito
Julián,Gaviria
Steven,Yamamoto
Charles,Uwagbai
Julián,Hernández
Sam,Hobkinson
Vince,Marcello
Jonathan,Teplitzky
Floyd,Russ
Dustin,Hoffman
Adze,Ugah
Hideaki,Takizawa
Quoc,Bao
Kayode,Kasum
Just,Philippot
Kirk,"DeMicco,"
Rohit,Shetty
Cavi,"Borges,"
Alejandro,Doria
Laura,Fairrie
Marcelo,Piñeyro
Izu,Ojukwu
Peter,Winther
Susan,Lacy
James,Mangold
Chineze,Anyaene
Kristine,Stolakis
Eva,"Müller,"
Brian,Levant
Rod,Daniel
Robert,Zemeckis
Todor,Chapkanov
Phil,"Lord,"
John,Hughes
Justin,Baldoni
Joe,Roth
Mark,Helfrich
Mag,"Hsu,"
Christopher,Nolan
Paul,Thomas
Nick,Castle
Howard,Zieff
David,Feiss
David,Gordon
Jorge,Blanco
Zara,Hayes
Gary,Ross
Clint,Eastwood
Trey,Parker
Kelly,Fremon
Tom,Elkins
Tony,Scott
Brad,Furman
Sylvain,White
Brad,Anderson
Irwin,Winkler
Garry,Marshall
Kenneth,Gyang
Jaume,Balagueró
Najwa,Najjar
Selçuk,Metin
Keishi,Otomo
David,Charhon
Michelle,Bello
Steven,Tsuchida
Daniel,Markowicz
Louie,Schwartzberg
Ram,Gopal
David,Benullo
Laxman,Utekar
Yuval,Adler
Quentin,Tarantino
Clay,Glen
Muzi,Mthembu
Marcos,Bucay
Peter,Thorwarth
Kim,Seong-hun
Augustine,Frizzell
Sidheswar,Shukla
Rajiv,Chilaka
Binayak,Das
Arpan,"Sarkar,"
Rajiv,"Chilaka,"
Ainsley,"Gardiner,"
Mahmoud,Karim
Kyohei,Ishiguro
Seyi,Babatope
Johane,"Matte,"
Morgan,Ingari
Abdulaziz,Alshlahei
Edward,Drake
Kathryn,Fasegha
Sita,"Likitvanichkul,"
Leigh,Janiak
Luis,Estrada
Sofia,Coppola
Colin,Trevorrow
Bill,Condon
David,Slade
Chris,Weitz
Catherine,Hardwicke
Hadrah,Daeng
Tommy,Chong
Fred,Ouro
Mayye,Zayed
Alessandra,de
Ash,"Brannon,"
Alaa,Eddine
Tom,Donahue
Roberto,De
Navot,Papushado
Manuel,Alcalá
Ricardo,Trogi
Semi,Chellas
Akay,"Mason,"
Viridiana,Lieberman
Nima,Nourizadeh
Daniel,Růžička
Juraj,Šajmovič
Femi,D.
Douglas,Attal
Kim,Joo-hyung
Avi,Federgreen
Jericca,"Cleland,"
Ahmed,Siddiqui
Hallie,Meyers-Shyer
Scott,Speer
Barry,Levinson
Tolulope,Itegboje
Camille,Delamarre
Pascal,Atuma
Oleg,Trofim
Mahmood,Ali-Balogun
Anurin,"Nwunembom,"
Christine,Luby
Udoka,Oyeka
Yeo,Siew
Hardik,Mehta
Rajveer,Singh
Youssef,Chahine
Saw,Teong
Rano,Karno
Pramod,Pawar
Naresh,Saigal
Vinil,Mathew
Neri,Parenti
Ramsey,Nouah
Bong,Joon
Kim,Tae-hyung
Michael,"Spierig,"
Ernie,Barbarash
Matt,Ogens
Jay,Roach
McG,
Frank,Marshall
Victor,Vu
Chow,Hin
Joel,Hopkins
John,"Stevenson,"
Jennifer,Yuh
Greg,Berlanti
Garth,Davis
Rob,Marshall
Martin,Brest
Shuko,Murase
Paul,W.S.
Ivan,Reitman
Joel,Gallen
Claire,McCarthy
Mary,Lambert
Trevor,Nunn
Gabriele,Muccino
Jim,Field
Chris,Koch
J.J.,Abrams
Rob,Minkoff
Lynn,Shelton
Adam,McKay
Anton,Corbijn
Robin,Bissell
David,Fincher
John,G.
Alan,Parker
Walter,Hill
Stephen,Frears
Bryan,Bertino
Phil,Alden
Florian,Henckel
Len,Wiseman
Måns,"Mårlind,"
Patrick,Tatopoulos
Robert,O.
Vincent,Ward
Gregory,Nava
Mary,Harron
Matt,Thompson
Jameel,Buari
Matt,Aselton
Jose,Javier
Jakub,Piątek
B.,T
Andrew,Dominik
Nibal,Arakji
Sofie,Šustková
Anissa,Bonnefont
Bahij,Hojeij
Jonathan,Hensleigh
Justin,P.
Kimmy,Gatewood
Tània,Balló
Manolo,Caro
Anurin,Nwunembom
Jayme,Monjardim
Kingsley,Ogoro
Cristina,Jacob
Yoshiyuki,"Tomino,"
Yoshiyuki,Tomino
Michihito,Fujii
Paul,Weitz
Karthik,Subbaraj
Lucky,Kuswandi
Soudade,Kaadan
Antoinette,Jadaone
Marie,Clements
David,O.
Achille,Brice
Max,Jabs
Ricardo,de
Peter,Chelsom
Michael,Lockshin
Francine,Parker
Daniel,Schechter
Mike,Gunther
David,Zeiger
Jerry,Rothwell
Ian,"Cheney,"
Bradley,Parker
Prabhakaran,
Manjari,Makijany
Chris,Appelhans
Michael,Tiddes
Lara,Saba
Bao,"Nhan,"
Mark,Raso
Tariq,Alkazim
Yulene,Olaizola
Matthew,Heineman
